id,logos,section,paragraph,tec_category,secondary_category,polarity,confidence,justification,error,page_start,biblical_citations
37,Δ΄,§2,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΚΑΤΗΓΟΡΙΑ,ΕΝΤΟΛΗ,Αρνητικό,0.72,"Ο συγγραφέας ελέγχει έμμεσα την αδιαφορία για τήρηση των ήδη γραμμένων διδαγμάτων («εἴθε ἐφυλάττομεν»), με τόνο ήπιας μεμψιμοιρίας που υπονοεί ηθική επίπληξη προς τον αναγνώστη.",,83,
38,Δ΄,§3,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΔΟΞΟΛΟΓΙΑ,ΑΓΑΠΗ,Θετικό,0.87,"Η παράγραφος αποτελεί λαμπρό εγκώμιο του Χρυσοστόμου με σωρεία μεγαλειωδών εικόνων (ποταμός θεόβρυτος, ωκεανός, στρατηγός, ιατρός) που εκφράζουν ενθουσιώδη θαυμασμό και αγαλλίαση μπροστά στο δώρο της πατερικής διδασκαλίας ως θεϊκής χάριτος.",,83,
39,Δ΄,§4,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΔΟΞΟΛΟΓΙΑ,ΕΝΤΟΛΗ,Θετικό,0.78,"Η εικόνα των θεοπνεύστων οργάνων και των παναρμονίων λυρών αποπνέει αγαλλίαση και θαυμασμό για τη συμφωνία θείας αποκάλυψης, με διδακτικό υπόστρωμα.",,83,
40,Δ΄,§5,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΕΝΤΟΛΗ,ΔΟΞΟΛΟΓΙΑ,Ουδέτερο,0.74,"Κανονιστική προτροπή μελέτης ασκητικών πατέρων (Βασιλείου, Ησαΐου, Ιωάννου Κλίμακος) με διδακτικό τόνο, ενώ τα επίθετα μακαρίων, τρισοσίου, ἀγγέλου ἐν ἀνθρώποις αποπνέουν ήπιο δοξολογικό χρώμα.",,83,
41,Δ΄,§6,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΔΟΞΟΛΟΓΙΑ,ΕΝΤΟΛΗ,Θετικό,0.78,"Η ανοδική εικόνα της πνευματικής κλίμακας με τις τριάκοντα βαθμίδες αρετών και η κορύφωση στη σύσταση μοναχών στεφανιτών παρά τω Θεώ αποπνέουν ενθουσιώδη αγαλλίαση για το θεϊκό σχέδιο σωτηρίας, ενώ η λεπτομερής απαρίθμηση των αρετών προσδίδει και διδακτικό-κανονιστικό χαρακτήρα.",,83,
42,Δ΄,§7,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΕΝΤΟΛΗ,ΦΟΒΟΣ_ΘΕΟΥ,Ουδέτερο,0.74,"Η παράγραφος εκθέτει με διδακτικό-αναλυτικό τόνο την ιεραρχία των αρετών (ὑπακοή, ταπείνωσις, φυγή κόσμου), ενώ η παρεμβαλλόμενη απειλή «οὐδεὶς τῶν ἐμπαθῶν ὄψεται τὸν Κύριον» προσθέτει δευτερευόντως έναν τόνο ιερού δέους.",,84,
43,Δ΄,§8,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΔΟΞΟΛΟΓΙΑ,ΕΝΤΟΛΗ,Θετικό,0.71,"Ο θαυμασμός μπροστά στην «ἀξιοθαύμαστη» σοφία του Πατρός αποπνέει δοξολογική αγαλλίαση, ενώ η ταυτόχρονη έκθεση της τάξης της υπακοής προσδίδει διδακτικό-κανονιστικό χαρακτήρα.",,84,
44,Δ΄,§9,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΜΕΤΑΝΟΙΑ,ΕΝΤΟΛΗ,Θετικό,0.81,Η ξενιτεία και η υπακοή παρουσιάζονται ως θεόσδοτο ζεύγος που καρποφορεί σωστική μετάνοια — θετική φόρτιση παρά την παρουσία της ἐννοίας θανάτου ως χαλινού κακίας.,,84,
45,Δ΄,§10,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΜΕΤΑΝΟΙΑ,ΕΣΧΑΤΟΛΟΓΙΑ,Θετικό,0.82,"Η έννοια του θανάτου γεννά το «ἀφηγνισμένον καὶ μακάριον πένθος» — η μετάνοια ανοίγει σε μακαριότητα και παράκληση, με εσχατολογική υπόσχεση από τις Μακαριότητες να δίνει θετική φόρτιση.",,84,
46,Δ΄,§11,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΜΕΤΑΝΟΙΑ,ΚΑΤΗΓΟΡΙΑ,Αρνητικό,0.81,"Η «χαρμονικὴ πενθηρία» και η «θανάσιμος μνήμη» ως μητέρες της ἀοργησίας αναδεικνύουν τη μετάνοια ως πνευματικό μοχλό, ενώ η παραδοχή ότι ο θυμὸς «καθ᾿ ἡμέραν σπαράττει» προσδίδει κατηγορικό ψόγο κατά της αμετανοησίας.",,84,
47,Δ΄,§12,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΔΟΞΟΛΟΓΙΑ,ΕΝΤΟΛΗ,Θετικό,0.78,"Η εξύμνηση της «ἱερᾶς πυκτίδος» με εικόνες πλούτου, γάλακτος και μέλιτος και η σύγκριση του πατρὸς με τον Χρυσόστομο εκπέμπουν αγαλλίαση και ευγνωμοσύνη για τη διδακτική παράδοση, με δευτερεύοντα διδακτικό-κανονιστικό χαρακτήρα.",,84,
48,Δ΄,§13,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΔΟΞΟΛΟΓΙΑ,ΕΛΠΙΔΑ,Θετικό,0.87,"Η αναφορά σε «μελισσῶνα πανάγιον», «μέλιτος ἐξαισίου» και «πολίτας τῆς οὐρανῶν βασιλείας» αποπνέει αγαλλίαση και θαυμασμό μπροστά στο μεγαλείο της αγίας βιοτής, με δευτερεύουσα εσχατολογική ελπίδα.",,85,
49,Δ΄,§14,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΕΛΠΙΔΑ,ΔΟΞΟΛΟΓΙΑ,Θετικό,0.87,"Η συσσώρευση εικόνων από τις παραβολές του Ευαγγελίου (μαργαρίτης, θησαυρός, σαγήνη, γάμοι) ζωγραφίζει με εξαιρετική φωτεινότητα την εσχατολογική πληρότητα των μοναχών και καταλήγει σε επευκτική προσευχή για μετοχή στην ίδια μερίδα, γεγονός που προσδίδει στην παράγραφο τον κυρίαρχο τόνο της ελπίδας.",,85,
50,Δ΄,§15,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΚΑΤΗΓΟΡΙΑ,ΕΝΤΟΛΗ,Ουδέτερο,0.71,"Ο Νεόφυτος απαντά αμυντικά σε υποτιθέμενους επικριτές με ειρωνικό-αποτρεπτικό τόνο, ελέγχοντας τη στάση τους, αλλά χωρίς ηθική οργή — ο τόνος είναι διευκρινιστικός παρά κατηγορηματικά κατηγορητικός.",,85,
51,Δ΄,§16,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΕΝΤΟΛΗ,ΑΓΑΠΗ,Ουδέτερο,0.81,"Ο Νεόφυτος εξηγεί τη σύνθεση του έργου ως πράξη κατοχής και τήρησης των εντολών, με κυρίαρχο κανονιστικό-διδακτικό τόνο, ενώ η δευτερεύουσα αναφορά στο «ὁ ἀγαπῶν με» εισάγει μια ελαφρά χροιά Αγάπης.",,85,
52,Δ΄,§17,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΕΝΤΟΛΗ,ΜΕΤΑΝΟΙΑ,Ουδέτερο,0.78,"Ο συγγραφέας εκθέτει με διδακτικό-αφηγηματικό τόνο τη συλλογή και ερμηνεία των ευαγγελικών εντολών, με κεντρική αναφορά στην εντολή της μετανοίας, χωρίς κυρίαρχο συναισθηματικό χρωματισμό.",,86,
53,Δ΄,§18,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΕΝΤΟΛΗ,ΜΕΤΑΝΟΙΑ,Ουδέτερο,0.74,"Μεταεξηγητική παράγραφος μεθοδολογικού χαρακτήρα: ο συγγραφέας δηλώνει τον παιδαγωγικό σκοπό του έργου (ἀφυπνίζειν τὴν ῥαθυμίαν) με διδακτικό, κανονιστικό τόνο, ενώ η εικόνα του ὑπνῶντος αγγίζει τη συναισθηματική κλίμακα της εγρήγορσης-μετανοίας χωρίς να κυριαρχεί.",,86,
54,Δ΄,§19,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΕΝΤΟΛΗ,ΑΓΑΠΗ,Θετικό,0.72,Ο συγγραφέας κλείνει την απολογητική ενότητα και στρέφεται προς τον Χριστό ως πηγή των εντολών — κανονιστική μετάβαση με υποτονική θερμότητα προς τον Σωτήρα.,,86,
55,Δ΄,§20,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΕΛΠΙΔΑ,ΑΓΑΠΗ,Θετικό,0.87,"Η προσευχητική επίκληση συνδυάζεται με την τριπλή επανάληψη αἰτεῖτε/ζητεῖτε/κρούετε και την εικόνα του φιλευσπλάγχνου οὐρανίου Πατρός που υπόσχεται να δώσει ἀγαθά, δημιουργώντας κλίμα βεβαιωμένης ελπίδας και εμπιστοσύνης.",,86,
56,Δ΄,§21,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΚΑΤΗΓΟΡΙΑ,ΕΝΤΟΛΗ,Αρνητικό,0.81,"Ο Νεόφυτος ελέγχει αυστηρά τον άνθρωπο που αιτιάται τον Θεό για αναπάντητες προσευχές, αποκαλώντας τον ψεύστη (πᾶς ἄνθρωπος ψεύστης) και επισημαίνοντας τη διπλή αμαρτία του — κατηγορηματικός ηθικός έλεγχος με διδακτικές προεκτάσεις.",,86,
57,Δ΄,§22,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΕΣΧΑΤΟΛΟΓΙΑ,ΔΟΞΟΛΟΓΙΑ,Ουδέτερο,0.81,Η παρέλευση ουρανού και γης αντιπαραβάλλεται με την αιωνιότητα των λόγων του Θεού — εσχατολογική συνείδηση που εγγίζει δοξολογική διάθεση μέσω της παραπομπής στη δημιουργική παντοδυναμία.,,87,
